序号,姓名,单位,性别,职务,职称,参加工作时间,出生日期,身份证,基本工资,职务工资,岗位津贴
78,南宫秀英,B部门,女,主管,工程师,2004-07-17,1979-01-26,110178197901260589,770,470,390
79,上官志国,B部门,男,职员,工程师,2010-04-02,1984-04-08,110179198404080591,650,410,260
80,欧阳文娟,B部门,女,职员,技师,2000-09-09,1974-10-21,110180197410210605,710,390,290
81,司马大伟,C部门,男,经理,高工,1982-06-15,1963-09-05,110181196309050619,890,540,620
82,司徒美华,C部门,女,副经理,高工,1986-01-28,1967-06-18,110182196706180627,860,520,560
83,司空建军,C部门,男,主管,工程师,1994-04-10,1973-03-04,110183197303040630,810,500,440
84,诸葛秀英,C部门,女,职员,工程师,2003-11-23,1980-01-22,110184198001220644,660,420,270
85,东方明,C部门,男,职员,技师,1999-08-05,1971-09-14,110185197109140659,750,390,340
86,皇甫丽芳,C部门,女,职员,技术员,2010-12-12,1986-04-27,110186198604270661,510,300,110
87,尉迟志强,C部门,男,职员,技术员,2012-03-30,1988-12-03,110187198812030674,490,290,100
88,公孙彩霞,C部门,女,主管,工程师,2005-06-06,1981-02-10,110188198102100689,760,460,400
89,仲孙建华,C部门,男,职员,工程师,2009-01-24,1983-10-05,110189198310050691,640,400,260
90,孙仲敏,C部门,女,职员,技师,2002-10-17,1977-04-30,110190197704300708,710,380,310
91,李子龙,A部门,男,职员,高工,1993-08-02,1974-06-22,110191197406220711,770,470,430
92,张小红,A部门,女,职员,工程师,2008-05-15,1983-09-11,110192198309110725,620,400,250
93,王建华,A部门,男,职员,技师,2003-02-08,1978-01-30,110193197801300731,710,390,300
94,刘秀英,A部门,女,职员,技术员,2011-08-20,1987-05-07,110194198705070745,510,300,110
95,陈志强,A部门,男,主管,工程师,2006-12-11,1981-11-18,110195198111180758,800,490,410
96,杨丽芳,A部门,女,职员,工程师,2012-04-04,1988-08-06,110196198808060762,590,370,220
97,赵卫东,A部门,男,职员,技师,1997-10-27,1971-12-24,110197197112240775,740,380,330
98,周雪梅,A部门,女,职员,技术员,2014-07-13,1990-03-09,110198199003090788,480,280,90
99,吴建国,A部门,男,职员,技术员,2015-11-06,1991-07-16,110199199107160791,470,270,80
100,郑文娟,A部门,女,主管,高工,1991-09-18,1972-08-02,110200197208020809,830,510,500
101,孙强,B部门,男,经理,高工,1984-01-05,1965-03-29,110201196503290812,900,550,610
102,钱秀华,B部门,女,副经理,高工,1987-07-22,1969-09-17,110202196909170828,870,530,550
103,冯伟明,B部门,男,主管,工程师,1996-02-08,1974-04-05,110203197404050831,790,490,440
104,陈丽娟,B部门,女,职员,工程师,2005-09-25,1981-06-28,110204198106280845,680,430,280
105,杨卫东,B部门,男,职员,技师,2000-04-12,1975-10-14,110205197510140859,730,390,320
106,朱敏,B部门,女,职员,技术员,2012-08-01,1989-02-03,110206198902030862,500,300,100
107,秦建华,B部门,男,职员,技术员,2013-10-19,1990-06-25,110207199006250875,480,290,90
108,尤文娟,B部门,女,主管,工程师,2004-03-04,1979-12-11,110208197912110889,780,480,400
109,何志国,B部门,男,职员,工程师,2010-10-12,1984-02-19,110209198402190891,660,420,270
110,林文娟,B部门,女,职员,技师,2001-05-27,1976-08-08,110210197608080905,720,390,300
111,罗大伟,C部门,男,经理,高工,1981-03-09,1962-05-14,110211196205140919,920,560,630
112,高美华,C部门,女,副经理,高工,1985-11-16,1968-01-02,110212196801020927,890,540,570
113,马建军,C部门,男,主管,工程师,1993-06-01,1972-10-20,110213197210200931,820,510,460
114,方秀英,C部门,女,职员,工程师,2002-12-14,1977-07-13,110214197707130945,670,430,290
115,袁明,C部门,男,职员,技师,1998-03-28,1973-05-06,110215197305060959,760,400,350
116,唐丽芳,C部门,女,职员,技术员,2009-07-05,1985-09-24,110216198509240962,520,310,120
117,薛志强,C部门,男,职员,技术员,2011-11-18,1987-07-07,110217198707070975,500,300,110
118,雷彩霞,C部门,女,主管,工程师,2006-04-22,1981-10-15,110218198110150989,770,470,410
119,贺建华,C部门,男,职员,工程师,2008-09-06,1983-01-31,110219198301310991,650,410,270
120,汪敏,C部门,女,职员,技师,2003-01-14,1977-09-22,110220197709220100,720,390,320
121,丁大伟,A部门,男,职员,高工,1994-10-30,1975-11-03,110221197511030113,780,480,440
122,邓小红,A部门,女,职员,工程师,2009-07-23,1984-03-26,110222198403260125,630,410,260
123,冯建华,A部门,男,职员,技师,2004-04-16,1979-07-08,110223197907080131,720,400,310
124,潘秀英,A部门,女,职员,技术员,2012-12-09,1988-10-01,110224198810010145,510,310,110
125,杜志强,A部门,男,主管,工程师,2007-06-01,1982-02-14,110225198202140158,810,500,420
126,夏丽芳,A部门,女,职员,工程师,2013-09-24,1989-04-18,110226198904180162,600,380,230
127,戴卫东,A部门,男,职员,技师,1996-11-07,1970-10-05,110227197010050175,750,390,340
128,钟雪梅,A部门,女,职员,技术员,2014-05-20,1990-08-22,110228199008220188,490,290,100
129,汪建国,A部门,男,职员,技术员,2016-08-13,1992-02-09,110229199202090191,480,280,90
130,田文娟,A部门,女,主管,高工,1992-02-25,1973-04-17,110230197304170209,840,520,510
131,任强,B部门,男,经理,高工,1983-05-18,1964-07-30,110231196407300213,910,560,620
132,姜秀华,B部门,女,副经理,高工,1986-12-01,1967-11-13,110232196711130228,880,540,560
133,范伟明,B部门,男,主管,工程师,1995-07-15,1973-02-02,110233197302020231,800,500,450
134,方丽娟,B部门,女,职员,工程师,2004-02-28,1980-04-23,110234198004230245,690,440,290
135,萧卫东,B部门,男,职员,技师,1999-09-11,1974-11-09,110235197411090259,740,400,330
136,于敏,B部门,女,职员,技术员,2011-01-04,1988-01-16,110236198801160262,510,310,110
137,董建华,B部门,男,职员,技术员,2012-06-17,1990-03-20,110237199003200275,490,300,100
138,袁秀英,B部门,女,主管,工程师,2003-11-30,1978-06-05,110238197806050289,790,490,410
139,蒋志国,B部门,男,职员,工程师,2009-08-08,1983-04-12,110239198304120291,670,430,280
140,沈文娟,B部门,女,职员,技师,2000-03-15,1974-09-28,110240197409280305,730,400,310
